Job Name,Job Type,Job Location
AI Researcher / AI Engineer,['Full Time'],"Nasr City, Cairo, Egypt "
AI Engineer,['Full Time'],"Cairo, Egypt "
MLOps + AI Engineer,['Full Time'],"Cairo, Egypt "
AI Engineer - Travel Tech,['Full Time'],"Mohandessin, Giza, Egypt "
Software Engineer (AI & Data Analytics),['Full Time'],"Maadi, Cairo, Egypt "
IoT and Applied AI Teacher,['Full Time'],"Cairo, Egypt "
AI Engineering Manager,['Full Time'],"Cairo, Egypt "
Software Engineer Instructor,['Full Time'],"Basatin, Cairo, Egypt "
Salesforce Developer / Architect-AI,['Full Time'],"Cairo, Egypt "
AI DESIGN ARCHITECT,['Full Time'],"Heliopolis, Cairo, Egypt "
AI Software Engineer,['Full Time'],"Cairo, Egypt "
AI Engineer,['Full Time'],"Maadi, Cairo, Egypt "
AI Engineer (LLM / NLP),['Full Time'],"New Cairo, Cairo, Egypt "
NLP Python Engineer,['Full Time'],"Cairo, Egypt "
AI Engineer,['Full Time'],"Cairo, Egypt "
AI Researcher / AI Engineer,['Full Time'],"Nasr City, Cairo, Egypt "
AI Engineer,['Full Time'],"Cairo, Egypt "
MLOps + AI Engineer,['Full Time'],"Cairo, Egypt "
AI Engineer - Travel Tech,['Full Time'],"Mohandessin, Giza, Egypt "
Software Engineer (AI & Data Analytics),['Full Time'],"Maadi, Cairo, Egypt "
IoT and Applied AI Teacher,['Full Time'],"Cairo, Egypt "
AI Engineering Manager,['Full Time'],"Cairo, Egypt "
Software Engineer Instructor,['Full Time'],"Basatin, Cairo, Egypt "
Salesforce Developer / Architect-AI,['Full Time'],"Cairo, Egypt "
AI DESIGN ARCHITECT,['Full Time'],"Heliopolis, Cairo, Egypt "
AI Software Engineer,['Full Time'],"Cairo, Egypt "
AI Engineer,['Full Time'],"Maadi, Cairo, Egypt "
AI Engineer (LLM / NLP),['Full Time'],"New Cairo, Cairo, Egypt "
NLP Python Engineer,['Full Time'],"Cairo, Egypt "
AI Engineer,['Full Time'],"Cairo, Egypt "
AI Researcher / AI Engineer,['Full Time'],"Nasr City, Cairo, Egypt "
AI Engineer,['Full Time'],"Cairo, Egypt "
MLOps + AI Engineer,['Full Time'],"Cairo, Egypt "
AI Engineer - Travel Tech,['Full Time'],"Mohandessin, Giza, Egypt "
Software Engineer (AI & Data Analytics),['Full Time'],"Maadi, Cairo, Egypt "
IoT and Applied AI Teacher,['Full Time'],"Cairo, Egypt "
AI Engineering Manager,['Full Time'],"Cairo, Egypt "
Software Engineer Instructor,['Full Time'],"Basatin, Cairo, Egypt "
Salesforce Developer / Architect-AI,['Full Time'],"Cairo, Egypt "
AI DESIGN ARCHITECT,['Full Time'],"Heliopolis, Cairo, Egypt "
AI Software Engineer,['Full Time'],"Cairo, Egypt "
AI Engineer,['Full Time'],"Maadi, Cairo, Egypt "
AI Engineer (LLM / NLP),['Full Time'],"New Cairo, Cairo, Egypt "
NLP Python Engineer,['Full Time'],"Cairo, Egypt "
AI Engineer,['Full Time'],"Cairo, Egypt "
AI Researcher / AI Engineer,['Full Time'],"Nasr City, Cairo, Egypt "
AI Engineer,['Full Time'],"Cairo, Egypt "
MLOps + AI Engineer,['Full Time'],"Cairo, Egypt "
AI Engineer - Travel Tech,['Full Time'],"Mohandessin, Giza, Egypt "
Software Engineer (AI & Data Analytics),['Full Time'],"Maadi, Cairo, Egypt "
IoT and Applied AI Teacher,['Full Time'],"Cairo, Egypt "
AI Engineering Manager,['Full Time'],"Cairo, Egypt "
Software Engineer Instructor,['Full Time'],"Basatin, Cairo, Egypt "
Salesforce Developer / Architect-AI,['Full Time'],"Cairo, Egypt "
AI DESIGN ARCHITECT,['Full Time'],"Heliopolis, Cairo, Egypt "
AI Software Engineer,['Full Time'],"Cairo, Egypt "
AI Engineer,['Full Time'],"Maadi, Cairo, Egypt "
AI Engineer (LLM / NLP),['Full Time'],"New Cairo, Cairo, Egypt "
NLP Python Engineer,['Full Time'],"Cairo, Egypt "
AI Engineer,['Full Time'],"Cairo, Egypt "
AI Researcher / AI Engineer,['Full Time'],"Nasr City, Cairo, Egypt "
AI Engineer,['Full Time'],"Cairo, Egypt "
MLOps + AI Engineer,['Full Time'],"Cairo, Egypt "
AI Engineer - Travel Tech,['Full Time'],"Mohandessin, Giza, Egypt "
Software Engineer (AI & Data Analytics),['Full Time'],"Maadi, Cairo, Egypt "
IoT and Applied AI Teacher,['Full Time'],"Cairo, Egypt "
AI Engineering Manager,['Full Time'],"Cairo, Egypt "
Software Engineer Instructor,['Full Time'],"Basatin, Cairo, Egypt "
Salesforce Developer / Architect-AI,['Full Time'],"Cairo, Egypt "
AI DESIGN ARCHITECT,['Full Time'],"Heliopolis, Cairo, Egypt "
AI Software Engineer,['Full Time'],"Cairo, Egypt "
AI Engineer,['Full Time'],"Maadi, Cairo, Egypt "
AI Engineer (LLM / NLP),['Full Time'],"New Cairo, Cairo, Egypt "
NLP Python Engineer,['Full Time'],"Cairo, Egypt "
AI Engineer,['Full Time'],"Cairo, Egypt "
